kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_time0bk
8044608,K03523.01,FALSE POSITIVE,106.17593813,10.4168,164738.0,234.6409876
8760135,K03524.01,FALSE POSITIVE,184.6467208,18.9869,410274.0,151.98458
4073707,K03525.01,FALSE POSITIVE,6.282033445,8.3777,181787.0,131.590793
5730394,K03603.01,FALSE POSITIVE,5.519188936,7.1351,217073.0,134.470023
6451368,K07780.01,CANDIDATE,5.3360574,3.877,54.7,132.605
6956216,K03604.01,FALSE POSITIVE,4.818863794,6.2625,65936.5,131.677655
6137704,K03605.01,FALSE POSITIVE,178.26802035,5.86461,45753.9,255.351351
10275074,K03606.01,FALSE POSITIVE,2.181555909,4.41739,85406.9,133.48675
9110346,K03607.01,FALSE POSITIVE,0.895276162,3.0518,319082.0,131.6225645
10259301,K03608.01,FALSE POSITIVE,244.83274973,4.37001,40206.0,285.7025679
2995392,K03379.01,CONFIRMED,30.4544418,6.896,472.1,140.76863
3120308,K03380.01,FALSE POSITIVE,10.26558924,3.879,254.6,136.49645
9991621,K03382.01,FALSE POSITIVE,18.9257333,6.149,188.5,145.5267
8078502,K03383.01,CONFIRMED,37.8862977,5.218,672.2,133.03141
8644365,K03384.01,CANDIDATE,10.54841329,1.872,102.9,139.06402
5888187,K07749.01,CANDIDATE,133.6348207,1.584,420.9,236.35163
2852528,K03446.01,FALSE POSITIVE,11.9615433,3.129,424.5,131.895
3348216,K03448.01,CANDIDATE,32.510844,3.254,361.9,136.62491
7032421,K01747.02,FALSE POSITIVE,0.56683399,0.75,,131.7800607
10798838,K03449.01,FALSE POSITIVE,62.127677128,5.25005,37430.2,172.0663
8560940,K03450.01,FALSE POSITIVE,31.9730649,8.872,158.6,133.8409
10793576,K03451.01,CANDIDATE,10.90752977,2.764,186.0,136.60797
10292238,K03526.01,FALSE POSITIVE,143.1188694,16.8109,255714.0,266.359224
8733497,K03527.01,FALSE POSITIVE,76.81985465,5.16249,229165.0,188.1256603
4255422,K03528.01,FALSE POSITIVE,165.40574995,13.6363,66402.0,141.5762383
9837544,K03529.01,FALSE POSITIVE,71.661915163,6.33708,323613.0,172.9074598
7877824,K03530.01,FALSE POSITIVE,9.44942685,6.40303,488997.0,136.026498
6469946,K07781.01,FALSE POSITIVE,0.715802309,1.5586,2208.6,131.690348
