kepid,period
6281103,0.363281
6283224,0.766473
6286155,14.54183
6286161,14.541785
6286402,0.34332
6287172,0.203873
6290382,6.128161
6290740,15.151827
6292925,13.612348
6301030,11.991158
6302051,0.665873
6302592,1.578024
6305192,8.025157
6307062,75.379007
6307083,376.940167
6307537,29.744524
6311637,1.620813
6311681,0.844786
6312521,3.015549
6314173,1.433263
6344429,0.408459
6350020,0.241793
6353203,0.508504
6359771,0.406068
6359798,14.154038
6362386,4.592402
6363494,1.815633
6365321,0.848485
6367628,3.779692
6368316,0.338505
6370120,1.354777
6370361,0.45491
6370558,60.316584
6370665,0.932316
6372268,5.220047
6387193,553.99
6387450,3.661326
6387887,0.2169
6388770,21.34197
6390205,0.449402
6421188,16.434354
6421483,2.158402
6422170,624.312
6424124,0.385528
6426592,394.684665
6431545,0.316834
6431670,29.911485
6432059,0.76974
6436029,505.466934
6436038,0.376307
6443392,0.776976
6443538,6.261446
6446219,0.444806
6447430,1.160002
6448768,16.486798
6449358,5.77679
6449552,20.148811
6452742,1.375544
6462057,0.478716
6464285,0.843651
6466939,2.285894
6467389,0.288976
6468938,7.217012
6469946,0.715802
6470516,2.080431
6471048,0.297228
6504095,0.306775
6504534,28.1626
6504954,130.354594
6507541,0.327212
6516874,0.916327
6521542,4.425754
6522750,17.445641
6523216,14.313156
6525196,3.420604
6525209,75.13171
6526545,2.101418
6527229,200.800071
6531485,0.67699
6531496,14.323914
6543674,2.39103
6545018,3.99146
6546508,6.107057
6548447,10.768379
6549491,0.764653
6579806,9.880482
6591789,5.08841
6593363,18.527824
6593575,0.345744
6594972,10.819171
6595662,2.680514
6599919,13.610105
6603043,110.324286
6603756,5.204283
6606282,2.1071
6606653,2.698024
6606934,37.806939
6607610,63.518026
6610219,11.300995
6611330,35.14669
6613627,0.1508
6614926,3.026765
6615041,0.340085
6620003,3.428551
6628237,3.840129
6629332,4.310556
6629588,2.264471
6631721,13.738283
6633929,0.358908
6634112,9.942229
6665064,0.69837
6665223,119.412025
6669809,0.733738
6670812,1.741814
6671698,0.471525
6672229,23.832374
6675060,10.443328
6677225,0.525027
6678383,103.512357
6689368,1.270114
6690171,85.062415
6692340,0.674849
6693555,10.874988
6694186,5.554224
6695510,2.172967
6695889,1.106561
6697716,1.443249
6698670,10.81589
6699562,46.270531
6699679,0.201203
6706287,2.535388
6707942,9.0142
6756202,290.78597
6756669,5.851532
6757558,421.16
6758917,2.236102
6762188,7.155502
6762829,18.795266
6766325,0.439966
6766748,7.002865
6775034,10.028547
6778050,0.945828
6778289,30.13015
6781535,9.122086
6784887,44.714448
6791604,0.528806
6794131,1.613328
6803335,1.110853
6805146,13.779702
6805779,0.801921
6806632,9.469157
6836140,0.487721
6841577,15.537535
6842345,17.381612
6843507,0.343182
6844489,1.07976
6847018,16.662167
6849046,4.225385
6850665,214.716056
6852488,2.172041
6853229,0.426111
6859813,10.882422
6862603,2.861166
6863161,1.986639
6863229,1.994921
6863840,3.852734
6864859,40.877843
6865626,0.726768
6866228,7.70237
6867766,12.964725
6877673,36.758887
6880727,0.412737
6881709,6.741116
6889235,5.18867
6891512,3.505126
6927629,7.735228
6929869,0.283692
6933781,130.419563
6934587,1.570919
6936977,36.473122
6939670,4.238855
6947164,70.582851
6947666,56.690264
6948480,175.329305
6948815,1.541531
6949550,7.841067
6956014,1.851182
6956216,4.81883
6960446,10.149
6960487,34.525988
6960913,59.88
6962018,1.269894
6963171,23.308219
6964043,5.362582
6964796,0.399966
6965293,5.07782
6966265,0.313435
7009828,10.642454
7013934,0.641368
7019489,24.259843
7021177,18.645328
7023917,0.772842
7023960,30.882537
7024530,66.153
7025540,2.148207
7025851,4.681
7033748,4.39271
7035139,0.309741
7037319,0.57811
7037405,207.150524
7037540,14.405911
7038831,0.627291
7039026,9.943929
7041856,4.000669
7047299,35.882244
7049486,26.718425
7050060,22.044
7051984,0.678133
7060333,2.527248
7091476,0.807736
7097571,2.213964
7105574,20.726066
7107567,0.812598
7108433,1.519188
7115291,52.802776
7117003,428.3
7117153,0.359529
7117541,1.585674
7118545,14.797219
7118621,0.370553
7118656,0.321355
7119757,0.742922
7119876,0.366364
7121885,33.937542
7122259,20.882168
7125636,6.490661
7128918,7.118799
7129465,5.491822
7130044,0.297665
7132542,66.360987
7133286,38.510681
7136958,29.015853
7137798,2.253537
7173910,0.402244
7174349,2.97414
7174617,1.608377
7176440,0.358271
7177553,17.996467
7177892,1.386249
7186665,8.559396
7198474,0.242305
7199183,0.324092
7199353,0.281987
7199774,4.708128
7200102,14.665757
7203179,2.245739
7204041,0.331679
7212066,3.840486
7212722,2.316172
7217866,0.407157
7219906,35.08981
7220320,0.752158
7255336,2.406402
7257373,10.466902
7258889,0.903905
7259722,9.633226
7259917,0.384679
7269493,1.907806
7269797,0.281792
7269843,0.268216
7270230,6.99809
7272739,0.281165
7273033,0.305033
7280704,0.32435
7282128,0.34705
7284688,0.646043
7287391,4.2861
7289157,5.265807
7289157,242.712992
7293054,671.8
7295570,3.60377
7296094,0.890749
7304911,0.625551
7335517,0.274504
7336754,12.155245
7339123,0.347103
7339345,0.259664
7348206,0.401205
7350038,13.829942
7353970,198.443496
7357531,502.124455
7362696,4.9313
7362751,0.338249
7362852,7.036714
7365447,2.525388
7366145,0.864361
7367833,0.286199
7368103,2.182515
7368451,0.373377
7369523,5.318837
7373255,13.661106
7373555,0.536675
7374746,2.733892
7375348,25.309126
7375612,0.160073
7375795,19.300796
7376500,5.877128
7376983,5.644925
7377033,3.91362
7377343,15.908951
7377422,107.622847
7378178,0.624269
7382250,1.418732
7383021,0.466061
7385478,1.655478
7387296,2.579544
7422883,11.414534
7431665,281.4
7431703,0.572526
7432479,0.408459
7433513,0.701119
7436177,19.933523
7440742,0.283992
7449844,1.152218
7455553,6.516497
7456521,276.430009
7457163,0.774604
7458285,0.660628
7466863,11.971139
7501230,0.89275
7506164,0.558013
7506446,0.3526
7511416,5.590855
7512381,0.423925
7515679,5.590435
7516345,0.49187
7518816,0.46658
7523733,3.121159
7529123,0.350078
7532973,2.144632
